asset,feature,importance
BTC,vader_neg,0.11363755363860573
BTC,vader_neu,0.06628424584587086
BTC,vader_pos,0.06371961220554886
BTC,vader_compound,0.05668715504791156
BTC,vader_compound_lag_1,0.048509636543976775
BTC,vader_compound_rolling_3,0.04671755241159759
BTC,vader_compound_lag_3,0.04026630977952474
BTC,vader_compound_lag_2,0.03711154376227321
BTC,vader_compound_rolling_7,0.03340265000121648
BTC,n_posts,0.03229963054396857
BTC,n_posts_log,0.026106923577477185
SP500,vader_neu,0.07085891045430756
SP500,vader_pos,0.06208655766010837
SP500,vader_neg,0.05725804785821673
SP500,vader_compound_lag_2,0.05569559745355526
SP500,vader_compound_rolling_3,0.05551915953691479
SP500,vader_compound_rolling_7,0.04760953918480862
SP500,vader_compound_lag_3,0.04186278370861604
SP500,vader_compound_lag_1,0.04125030802898059
SP500,n_posts,0.03448721271519429
SP500,vader_compound,0.034357475211417444
SP500,n_posts_log,0.030353946631187703
